"genero","idade","curso","periodo","satisfacao","abandono","animacao","descrente potencial","descrente estudos","possui dificuldade"
"Masculino","de 21 a 25","Ciência da Computação","5","Concordo parcialmente","Discordo completamente","Concordo completamente","Discordo completamente","Discordo completamente","Discordo parcialmente"
"Masculino","de 16 a 20","Engenharia Elétrica","3","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo completamente","Concordo completamente"
"Masculino","de 21 a 25","Ciência da Computação","7","Concordo parcialmente","Discordo completamente","Indiferente","Discordo completamente","Indiferente","Concordo parcialmente"
"Feminino","de 21 a 25","Ciência da Computação","3","Concordo parcialmente","Discordo completamente","Concordo completamente","Concordo parcialmente","Discordo parcialmente","Discordo parcialmente"
"Feminino","de 21 a 25","Medicina","5","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo completamente","Discordo parcialmente","Concordo parcialmente"
"Masculino","de 21 a 25","Ciência da Computação","7","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Indiferente","Discordo completamente","Discordo parcialmente"
"Masculino","de 16 a 20","Ciência da Computação","7","Concordo parcialmente","Discordo completamente","Discordo parcialmente","Discordo parcialmente","Discordo completamente","Concordo parcialmente"
"Feminino","de 21 a 25","Eng. de Materiais","4","Discordo parcialmente","Concordo completamente","Discordo completamente","Concordo parcialmente","Concordo completamente","Concordo completamente"
"Masculino","de 21 a 25","Ciência da Computação","9","Concordo parcialmente","Discordo completamente","Indiferente","Concordo completamente","Discordo parcialmente","Indiferente"
"Masculino","de 16 a 20","Ciência da Computação","1","Concordo completamente","Discordo parcialmente","Concordo completamente","Discordo parcialmente","Discordo parcialmente","Discordo parcialmente"
"Masculino","de 16 a 20","Estatística","7","Discordo parcialmente","Concordo parcialmente","Concordo completamente","Concordo parcialmente","Concordo completamente","Concordo completamente"
"Masculino","de 21 a 25","Eng. de Materiais","5","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Indiferente","Indiferente","Discordo parcialmente"
"Masculino","de 16 a 20","Ciência da Computação","7","Concordo parcialmente","Discordo completamente","Concordo completamente","Discordo completamente","Discordo completamente","Discordo completamente"
